hidden unit size,expected accuracy, margin of error
414,0.9105425,0.005709761715356764
261,0.912455,0.004024628984333647
722,0.9177125,0.0035688839561279777
240,0.9103425,0.005330439379109285
845,0.908855,0.006702127293360687
829,0.9090525,0.008466482899782394
109,0.90089,0.005354508285021042
665,0.9117975,0.005982712220458254
542,0.91019,0.004635867965642659
750,0.902855,0.009288040145455324
